Beta-carotene
5/1/2025 7:19:19 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.24667	
//WLCalib: 261S 	0.07000	
//WLCalib: 362S 	-0.31000	
//WLCalib: 484S 	0.12000	
//WLCalib: 529S 	0.24000	
//WLCalib: 823S 	-0.29000	
//QSpecEnd: 
190.0	-0.013
190.5	-0.012
191.0	-0.008
191.5	-0.003
192.0	0.005
192.5	0.000
193.0	0.000
193.5	0.000
194.0	0.000
194.5	0.000
195.0	0.000
195.5	0.000
196.0	0.000
196.5	0.000
197.0	0.000
197.5	0.000
198.0	0.000
198.5	0.000
199.0	0.000
199.5	0.000
200.0	0.000
200.5	0.000
201.0	0.000
201.5	0.000
202.0	0.000
202.5	0.000
203.0	0.000
203.5	0.000
204.0	0.000
204.5	-0.003
205.0	-0.003
205.5	0.004
206.0	0.009
206.5	0.012
207.0	0.014
207.5	0.014
208.0	0.013
208.5	0.009
209.0	0.004
209.5	-0.004
210.0	-0.001
210.5	0.000
211.0	0.000
211.5	0.000
212.0	0.000
212.5	0.000
213.0	0.000
213.5	0.000
214.0	-0.001
214.5	0.015
215.0	-0.006
215.5	-0.022
216.0	-0.034
216.5	-0.040
217.0	-0.042
217.5	-0.039
218.0	-0.030
218.5	-0.018
219.0	0.000
219.5	0.014
220.0	0.000
220.5	0.000
221.0	0.000
221.5	0.000
222.0	0.000
222.5	0.000
223.0	0.000
223.5	0.000
224.0	0.000
224.5	0.000
225.0	0.000
225.5	0.000
226.0	0.000
226.5	0.000
227.0	0.000
227.5	0.000
228.0	0.000
228.5	0.000
229.0	0.000
229.5	0.000
230.0	0.000
230.5	0.000
231.0	0.000
231.5	0.000
232.0	0.000
232.5	0.000
233.0	0.000
233.5	0.000
234.0	0.000
234.5	0.000
235.0	0.000
235.5	0.000
236.0	0.000
236.5	0.000
237.0	0.000
237.5	0.000
238.0	0.000
238.5	0.000
239.0	0.001
239.5	0.000
240.0	-0.004
240.5	0.000
241.0	0.004
241.5	0.006
242.0	0.008
242.5	0.009
243.0	0.008
243.5	0.006
244.0	0.003
244.5	-0.002
245.0	-0.005
245.5	-0.010
246.0	-0.004
246.5	0.007
247.0	0.015
247.5	0.021
248.0	0.023
248.5	0.022
249.0	0.019
249.5	0.014
250.0	0.005
250.5	-0.010
251.0	0.001
251.5	0.004
252.0	0.006
252.5	0.008
253.0	0.016
253.5	0.012
254.0	-0.003
254.5	-0.016
255.0	-0.026
255.5	-0.031
256.0	-0.029
256.5	-0.025
257.0	-0.019
257.5	-0.008
258.0	0.006
258.5	0.005
259.0	0.002
259.5	0.001
260.0	0.000
260.5	-0.001
261.0	-0.002
261.5	-0.002
262.0	-0.002
262.5	-0.002
263.0	-0.002
263.5	0.002
264.0	-0.001
264.5	0.020
265.0	-0.008
265.5	-0.029
266.0	-0.045
266.5	-0.053
267.0	-0.056
267.5	-0.052
268.0	-0.041
268.5	-0.024
269.0	-0.001
269.5	0.022
270.0	-0.001
270.5	-0.001
271.0	-0.002
271.5	0.000
272.0	-0.001
272.5	-0.002
273.0	-0.003
273.5	-0.003
274.0	-0.004
274.5	-0.004
275.0	-0.004
275.5	-0.003
276.0	-0.001
276.5	0.002
277.0	0.000
277.5	0.000
278.0	0.000
278.5	0.000
279.0	0.002
279.5	-0.001
280.0	-0.004
280.5	-0.005
281.0	-0.006
281.5	-0.007
282.0	-0.006
282.5	-0.005
283.0	-0.003
283.5	0.000
284.0	0.002
284.5	0.000
285.0	0.000
285.5	0.000
286.0	0.000
286.5	0.000
287.0	-0.001
287.5	0.009
288.0	0.000
288.5	-0.008
289.0	-0.014
289.5	-0.018
290.0	-0.020
290.5	-0.019
291.0	-0.016
291.5	-0.011
292.0	-0.003
292.5	0.008
293.0	0.000
293.5	0.000
294.0	0.001
294.5	-0.008
295.0	0.002
295.5	0.010
296.0	0.016
296.5	0.020
297.0	0.021
297.5	0.020
298.0	0.016
298.5	0.010
299.0	0.002
299.5	-0.010
300.0	0.000
300.5	0.000
301.0	0.000
301.5	0.000
302.0	0.000
302.5	0.000
303.0	0.000
303.5	0.000
304.0	0.000
304.5	0.000
305.0	0.000
305.5	0.000
306.0	0.000
306.5	0.000
307.0	0.000
307.5	0.000
308.0	-0.013
308.5	-0.006
309.0	0.014
309.5	0.028
310.0	0.037
310.5	0.041
311.0	0.041
311.5	0.036
312.0	0.026
312.5	0.012
313.0	-0.009
313.5	-0.006
314.0	0.000
314.5	0.000
315.0	-0.003
315.5	-0.001
316.0	0.004
316.5	-0.001
317.0	0.007
317.5	0.007
318.0	0.016
318.5	0.024
319.0	0.030
319.5	0.037
320.0	0.037
320.5	0.038
321.0	0.034
321.5	0.009
322.0	0.001
322.5	0.009
323.0	0.027
323.5	0.039
324.0	0.066
324.5	0.110
325.0	0.150
325.5	0.191
326.0	0.225
326.5	0.241
327.0	0.260
327.5	0.289
328.0	0.297
328.5	0.298
329.0	0.307
329.5	0.315
330.0	0.322
330.5	0.333
331.0	0.341
331.5	0.345
332.0	0.347
332.5	0.351
333.0	0.355
333.5	0.359
334.0	0.361
334.5	0.363
335.0	0.366
335.5	0.370
336.0	0.373
336.5	0.374
337.0	0.376
337.5	0.377
338.0	0.379
338.5	0.380
339.0	0.381
339.5	0.382
340.0	0.383
340.5	0.383
341.0	0.383
341.5	0.384
342.0	0.383
342.5	0.383
343.0	0.383
343.5	0.384
344.0	0.384
344.5	0.384
345.0	0.384
345.5	0.384
346.0	0.386
346.5	0.386
347.0	0.387
347.5	0.388
348.0	0.389
348.5	0.389
349.0	0.389
349.5	0.389
350.0	0.389
350.5	0.389
351.0	0.390
351.5	0.390
352.0	0.391
352.5	0.392
353.0	0.392
353.5	0.393
354.0	0.394
354.5	0.395
355.0	0.396
355.5	0.397
356.0	0.397
356.5	0.398
357.0	0.398
357.5	0.399
358.0	0.399
358.5	0.400
359.0	0.401
359.5	0.401
360.0	0.402
360.5	0.402
361.0	0.403
361.5	0.403
362.0	0.404
362.5	0.406
363.0	0.407
363.5	0.409
364.0	0.411
364.5	0.412
365.0	0.414
365.5	0.416
366.0	0.419
366.5	0.421
367.0	0.424
367.5	0.427
368.0	0.430
368.5	0.433
369.0	0.436
369.5	0.441
370.0	0.445
370.5	0.449
371.0	0.455
371.5	0.460
372.0	0.466
372.5	0.471
373.0	0.476
373.5	0.481
374.0	0.486
374.5	0.492
375.0	0.497
375.5	0.504
376.0	0.510
376.5	0.516
377.0	0.522
377.5	0.529
378.0	0.534
378.5	0.539
379.0	0.544
379.5	0.549
380.0	0.554
380.5	0.558
381.0	0.563
381.5	0.569
382.0	0.574
382.5	0.580
383.0	0.585
383.5	0.590
384.0	0.595
384.5	0.601
385.0	0.606
385.5	0.611
386.0	0.617
386.5	0.623
387.0	0.630
387.5	0.636
388.0	0.643
388.5	0.649
389.0	0.656
389.5	0.664
390.0	0.672
390.5	0.681
391.0	0.691
391.5	0.700
392.0	0.709
392.5	0.720
393.0	0.730
393.5	0.741
394.0	0.752
394.5	0.764
395.0	0.777
395.5	0.789
396.0	0.802
396.5	0.814
397.0	0.827
397.5	0.840
398.0	0.854
398.5	0.868
399.0	0.881
399.5	0.895
400.0	0.908
400.5	0.920
401.0	0.933
401.5	0.945
402.0	0.955
402.5	0.966
403.0	0.978
403.5	0.989
404.0	1.000
404.5	1.011
405.0	1.022
405.5	1.032
406.0	1.041
406.5	1.051
407.0	1.059
407.5	1.068
408.0	1.078
408.5	1.088
409.0	1.097
409.5	1.107
410.0	1.118
410.5	1.129
